避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
太麻里鄉三和村辦公處,臺東縣太麻里鄉,2鄰漁場131號,121.0354,22.6695,True,70,臺東,臺東縣,44.0,良好,15.18,Normal
屏東市民和國小,屏東縣屏東市,自立路213號,120.4958,22.6706,True,418,屏東,屏東縣,90.0,普通,0.84,Normal
高雄新莊天后宮備用,高雄市左營區,重清路278巷51號,120.3117,22.6716,True,120,左營,高雄市,150.0,對所有族群不健康,1.96,High Risk
屏東市唐榮國小,屏東縣屏東市,中山路41號,120.4852,22.6716,True,490,屏東,屏東縣,90.0,普通,0.33,Normal
仁慈活動中心,高雄市仁武區,仁慈路75號,120.3587,22.6717,True,150,仁武,高雄市,150.0,對所有族群不健康,3.3,High Risk
和平營區,高雄市三民區,武功巷52號,120.3314,22.6718,True,200,仁武,高雄市,150.0,對所有族群不健康,1.92,High Risk
高雄市左營區勝利國民小學,高雄市左營區,南屏路1號,120.295103,22.672458,True,500,左營,高雄市,150.0,對所有族群不健康,0.35,High Risk
高雄市三民區獅湖國民小學,高雄市三民區,鼎金後路495號,120.3224,22.6726,True,1582,仁武,高雄市,150.0,對所有族群不健康,2.11,High Risk
屏東縣立中正國中,屏東縣屏東市,民學路2路,120.5088,22.6726,True,2138,屏東,屏東縣,90.0,普通,2.13,Normal
綠島國中,臺東縣綠島鄉,臺東縣綠島鄉9鄰中寮4號,121.4701,22.6731,True,200,臺東,臺東縣,44.0,良好,34.04,Normal
綠島國民小學,臺東縣綠島鄉,中寮1鄰3號,121.4699,22.6737,True,200,臺東,臺東縣,44.0,良好,34.0,Normal
高雄市立大義國民中學,高雄市左營區,翠華路687號,120.2928,22.6742,True,50,左營,高雄市,150.0,對所有族群不健康,0.07,High Risk
中寮社區活動中心,臺東縣綠島鄉,中寮1鄰31號,121.4702,22.6747,True,30,臺東,臺東縣,44.0,良好,34.0,Normal
高雄市立海青高級工商職業學校,高雄市左營區,左營大路1號,120.2856,22.6752,True,100,左營,高雄市,150.0,對所有族群不健康,0.75,High Risk
國立屏東女中,屏東縣屏東市,仁愛路94號,120.4942,22.6753,True,2332,屏東,屏東縣,90.0,普通,0.68,Normal
瑪家社區活動中心,屏東縣瑪家鄉,馬卡札亞札亞街 1號,120.6869,22.6756,True,150,屏東,屏東縣,90.0,普通,20.41,Normal
